Start,Finish,Steps (count)
16/4/15 0:00,17/4/15 0:00,9170
17/4/15 0:00,18/4/15 0:00,6603
18/4/15 0:00,19/4/15 0:00,10628
19/4/15 0:00,20/4/15 0:00,9082
20/4/15 0:00,21/4/15 0:00,8912
21/4/15 0:00,22/4/15 0:00,9666
22/4/15 0:00,23/4/15 0:00,9382
23/4/15 0:00,24/4/15 0:00,10356
24/4/15 0:00,25/4/15 0:00,6503
25/4/15 0:00,26/4/15 0:00,4217
26/4/15 0:00,27/4/15 0:00,8552
27/4/15 0:00,28/4/15 0:00,9281
28/4/15 0:00,29/4/15 0:00,9076
29/4/15 0:00,30/4/15 0:00,7712
30/4/15 0:00,1/5/15 0:00,12656
1/5/15 0:00,2/5/15 0:00,7759
2/5/15 0:00,3/5/15 0:00,4373
3/5/15 0:00,4/5/15 0:00,2323
4/5/15 0:00,5/5/15 0:00,7086
5/5/15 0:00,6/5/15 0:00,6989
6/5/15 0:00,7/5/15 0:00,7182
7/5/15 0:00,8/5/15 0:00,3608
8/5/15 0:00,9/5/15 0:00,5874
9/5/15 0:00,10/5/15 0:00,10225
10/5/15 0:00,11/5/15 0:00,4572
11/5/15 0:00,12/5/15 0:00,13536
12/5/15 0:00,13/5/15 0:00,7780
13/5/15 0:00,14/5/15 0:00,8027
14/5/15 0:00,15/5/15 0:00,8730
15/5/15 0:00,16/5/15 0:00,7159
16/5/15 0:00,17/5/15 0:00,13226
17/5/15 0:00,18/5/15 0:00,7365
18/5/15 0:00,19/5/15 0:00,12765
19/5/15 0:00,20/5/15 0:00,9221
20/5/15 0:00,21/5/15 0:00,11449
21/5/15 0:00,22/5/15 0:00,7233
22/5/15 0:00,23/5/15 0:00,3927
23/5/15 0:00,24/5/15 0:00,4002
24/5/15 0:00,25/5/15 0:00,4732
25/5/15 0:00,26/5/15 0:00,5651
26/5/15 0:00,27/5/15 0:00,5193
27/5/15 0:00,28/5/15 0:00,2848
28/5/15 0:00,29/5/15 0:00,10781
29/5/15 0:00,30/5/15 0:00,3948
30/5/15 0:00,31/5/15 0:00,3297
31/5/15 0:00,1/6/15 0:00,5659
1/6/15 0:00,2/6/15 0:00,7172
2/6/15 0:00,3/6/15 0:00,3874
3/6/15 0:00,4/6/15 0:00,12960
4/6/15 0:00,5/6/15 0:00,5347
5/6/15 0:00,6/6/15 0:00,5286
6/6/15 0:00,7/6/15 0:00,11714
7/6/15 0:00,8/6/15 0:00,5367
8/6/15 0:00,9/6/15 0:00,5040
9/6/15 0:00,10/6/15 0:00,5802
10/6/15 0:00,11/6/15 0:00,4182
11/6/15 0:00,12/6/15 0:00,4589
12/6/15 0:00,13/6/15 0:00,10195
13/6/15 0:00,14/6/15 0:00,10021
14/6/15 0:00,15/6/15 0:00,5153
15/6/15 0:00,16/6/15 0:00,7022
16/6/15 0:00,17/6/15 0:00,6809
17/6/15 0:00,18/6/15 0:00,6408
18/6/15 0:00,19/6/15 0:00,11148
19/6/15 0:00,20/6/15 0:00,5811
20/6/15 0:00,21/6/15 0:00,6693
21/6/15 0:00,22/6/15 0:00,20972
22/6/15 0:00,23/6/15 0:00,19558
23/6/15 0:00,24/6/15 0:00,27508
24/6/15 0:00,25/6/15 0:00,29706
25/6/15 0:00,26/6/15 0:00,43507
26/6/15 0:00,27/6/15 0:00,21680
27/6/15 0:00,28/6/15 0:00,23316
28/6/15 0:00,29/6/15 0:00,19849
29/6/15 0:00,30/6/15 0:00,18057
30/6/15 0:00,1/7/15 0:00,13214
1/7/15 0:00,2/7/15 0:00,18557
2/7/15 0:00,3/7/15 0:00,15777
3/7/15 0:00,4/7/15 0:00,8712
4/7/15 0:00,5/7/15 0:00,22918
5/7/15 0:00,6/7/15 0:00,26815
6/7/15 0:00,7/7/15 0:00,38742
7/7/15 0:00,8/7/15 0:00,22090
8/7/15 0:00,9/7/15 0:00,26539
9/7/15 0:00,10/7/15 0:00,17765
10/7/15 0:00,11/7/15 0:00,18692
11/7/15 0:00,12/7/15 0:00,17849
12/7/15 0:00,13/7/15 0:00,15252
13/7/15 0:00,14/7/15 0:00,3089
